username,statuses_count
antoniopacios_1,251
kariudyoshi,110790
aljbrini,2669
Kn17Lxg,32702
Trevgauntlet,7105
UNC_TrackField,626
Moneydawg21,372
Pisacampas,8836
pj__zzz,392
Sihle__,2281
lukesmith140,317
vdergah,41
Secret_Sakumi,34177
aWeeG3,5236
_ibukii,5026
akbt15,5102
ars11nino830,3595
424kanaing,839
miss3zero1,111908
EduNgeru,25137
AndrewxAllan,9655
Featured_Inks,2466
Jay_My_G,97377
yeojka,4997
MoiraLP,11214
Kidrauhlfuckbud,101122
___SwAnKy__,42
hilljoe42,1423
10Michel,14851
chandraxaselole,355944
